address,lon,lat
"16 CARRICK TERRACE, RIALTO, DUBLIN 8",0,0
"161 ORLYNN PARK, LUSK, DUBLIN",53.523069750000005,-6.163528900000008
"168 THE WATERSIDE APTS, RINGSEND RD, RINGSEND DUBLIN 4",0,0
"17 OLD COTTAGES, RAFTERS ROAD, CRUMLIN",0,0
"170 Fernwood, Glyntown, Glanmire",0,0
"170 Gleann Na Ri, Druid Valley",53.2463933,-6.1428934
"18 Ard Lios, Gorey",52.67627675,-6.300739126902541
"18 EYRE ST, NEWBRIDGE, KILDARE",53.182698,-6.7965117
"18 FORBES QUAY, FORBES ST, DUBLIN 2",53.3454679,-6.2382826
"18 Gleann Fia, Mogeely",0,0
"19 GRANGE HALL, MOUNTMELLICK, LAOIS",53.1157178,-7.317510006064127
"19 MAYESTON RISE, MAYESTON HALL, FINGLAS DUBLIN 11",53.4066153,-6.2854079
"194 BURNELL COURT, NOTHERN CROSS, DUBLIN 17",0,0
"2 DUFFS FARM, TERMONFECKIN, DROGHEDA",0,0
"2 ESKER MEADOW VIEW, LUCAN, MEADOW VIEW",0,0
"2 FIREHOUSE LANE, KILDARE, KILDARE",0,0
"2 GARRAN PERCY FRENCH, KILKEE, CLARE",0,0
"2 LENNONSTOWN AVE, RED BARNS RD, DUNDALK",0,0
"2 MOUNTJOY PARADE, DUBLIN 1, DUBLIN",53.3581524,-6.2523905
"20 BLACKWATER COURT, OFF AVENUE ROAD, DUNDALK",0,0
"20 CLOGHEEN VILLAGE, CLOGHEEN, CLONAKILTY",0,0
"20 Glenbrook, Ballyroan, Co. Laois",52.9463233,-7.2970602
"20 Herbert Park, bray",53.1911293,-6.127793796933997
"20 MORENO, ARCADIA, ATHLONE",0,0
"20 SEAVIEW TERRACE, HOWTH, DUBLIN",53.3834087,-6.0662332
"20 ST PATRICKS TERRACE, WESTPORT, MAYO",53.7967695,-9.5307407
"20 WHITETHORN GROVE, KILBROGAN, BANDON",0,0
"203 MEADOW VIEW, DROGHEDA, LOUTH",53.706801150000004,-6.344960181805136
"21 FERNLEIGH CLOSE, CARPENTERSTOWN RD, CASTLEKNOCK DUBLIN 15",0,0
"21 KILMORE WILLOWS, BALLYJAMESDUFF",53.8682552,-7.1901834
"21 KNOCKNAREA AVE, DRIMNAGH, DUBLIN 12",0,0
"21 MAYORS WALK, WATERFORD",52.2594957,-7.1153004
